genres,movie_id,budget,title,popularity,release_date,revenue,ROI,Director
Action,10048,135000000,Stealth,13.89018,7/28/2005,76932943.0,-43.01263481481482,Rob Cohen
Romance,11648,30000000,Must Love Dogs,9.378926,7/21/2005,58405313.0,94.68437666666667,Gary David Goldberg
Comedy,11648,30000000,Must Love Dogs,9.378926,7/21/2005,58405313.0,94.68437666666667,Gary David Goldberg
Science Fiction,16320,39000000,Serenity,11.919995,8/25/2005,38869464.0,-0.3347076923076923,Joss Whedon
Action,16320,39000000,Serenity,11.919995,8/25/2005,38869464.0,-0.3347076923076923,Joss Whedon
Adventure,16320,39000000,Serenity,11.919995,8/25/2005,38869464.0,-0.3347076923076923,Joss Whedon
Thriller,16320,39000000,Serenity,11.919995,8/25/2005,38869464.0,-0.3347076923076923,Joss Whedon
Comedy,308,10000000,Broken Flowers,6.589304,5/17/2005,45742101.0,357.42101,Jim Jarmusch
Drama,308,10000000,Broken Flowers,6.589304,5/17/2005,45742101.0,357.42101,Jim Jarmusch
Mystery,308,10000000,Broken Flowers,6.589304,5/17/2005,45742101.0,357.42101,Jim Jarmusch
Romance,308,10000000,Broken Flowers,6.589304,5/17/2005,45742101.0,357.42101,Jim Jarmusch
Drama,26579,74050,The Heart is Deceitful Above All Things,2.789574,9/15/2004,176153.0,137.88386225523294,Asia Argento
Action,18882,7500000,Man-Thing,6.11959,4/21/2005,143000.0,-98.09333333333333,Brett Leonard
Horror,18882,7500000,Man-Thing,6.11959,4/21/2005,143000.0,-98.09333333333333,Brett Leonard
Science Fiction,18882,7500000,Man-Thing,6.11959,4/21/2005,143000.0,-98.09333333333333,Brett Leonard
Action,6519,50000000,The Dukes of Hazzard,9.039467,8/5/2005,110803676.0,121.60735199999999,Jay Chandrasekhar
Adventure,6519,50000000,The Dukes of Hazzard,9.039467,8/5/2005,110803676.0,121.60735199999999,Jay Chandrasekhar
Comedy,6519,50000000,The Dukes of Hazzard,9.039467,8/5/2005,110803676.0,121.60735199999999,Jay Chandrasekhar
Comedy,11453,22000000,Deuce Bigalow: European Gigolo,5.341117,8/6/2005,22400154.0,1.818881818181818,Mike Bigelow
Drama,9913,43000000,The Skeleton Key,10.947957,7/29/2005,91974818.0,113.89492558139536,Iain Softley
